Post ID,keyword,event Date,Post Content,Post Time
1,美国总统选举,2016-11-09,"
		为什么大多数关于美国总统选举的预测都错了？ |为什么大多... ​
		",2016-11-10
2,美国总统选举,2016-11-09,"
		连女性都不支持她参考消息网11月10日报道 英媒称，刚刚结束的美国总统选举无疑是美国历史上最为不 >>|英媒分析希... ​
		",2016-11-10
3,美国总统选举,2016-11-09,"
		美国东部时间8日零时（北京时间8日13时）刚过，美国新罕布什尔州迪克斯维尔山口的选民率先投票，这标志着四年一度的美国总统选举投票正式开始。（新华社） ​
		",2016-11-10
4,美国总统选举,2016-11-09,"
		特朗普胜选美国总统选举昭示着全球地缘政治环境将发生影响深远且巨大的变化，而特朗普激烈的政见更让全球“闻之丧胆”。但是，当特朗普真正赢了之后，情况似乎有了转变。网页链接…网页链接 ​
		",2016-11-10
5,美国总统选举,2016-11-09,"
#川普赢了#​四年一度的美国总统选举9日尘埃落定。共和党总统候选人特朗普当选为第58届美国总统。这个难以切割的政治时刻，是一场地震和一场余震，让美国人为之震惊，从而开启一个巨大矛盾与分裂的时代。如今这个时代走向高潮，特朗普在民调落后情况下高调胜选，开创美国总统大选先例。 ​
			...展开全文c
",2016-11-10
6,美国总统选举,2016-11-09,"
		回复@杏花春雨润江南:所以，你去当美国总统也是可以的。只是，美国也太蠢了，只要把选举游戏玩玩就够了，何必搞得那么隆重正经。
		",2016-11-10
7,美国总统选举,2016-11-09,"
	  【特朗普与朴槿惠通话赞韩国货好人也好】10日上午，特朗普与朴槿惠通电话时表示，他经营房地产多年买过很多韩货，无一不是非常过硬的产品，他在韩国有很多朋友，人都非常好。朴槿惠则在通话中表达了与美国密切合作，以遏制朝鲜挑衅的意愿。特朗普回应称，百分百同意朴槿惠的意见。韩联社（新浪） ​
	",2016-11-10
8,美国总统选举,2016-11-09,"
		也是一种洞见和视角。谁是美国总统我并无兴趣过多关心，我看见“阳光”至少普照了80%的选举大地，这才是最为根本，也是最为伟大的。无论谁，过去的、现在的，再伟大的领袖或团体也无权内定或影响这一根本制度。 网页链接 ​
		",2016-11-10
9,美国总统选举,2016-11-09,"
		美国宪法规定，美国总统并不是由美国人民一人一票直接选举的，而是由各州派出共538名议员代为行使，但是每个州的议员必须保持一致，全部投给在本州获胜的候选人，这也导致希拉里赢了直选却输了白宫。无论美国枪支怎么泛滥，阶级矛盾多么尖锐，这种制度都可以保证美国在长时间内屹立不倒，即可以平衡州 ​
			...展开全文c
",2016-11-10
10,美国总统选举,2016-11-09,"
		分享自神探007 《黄生：最大的黑天鹅，金融大崩盘，华尔街的失败，冬天提... - 黄生：最大的黑天鹅，金融大崩盘，华尔街的失败，冬天提前到来 今天美国总统选举结果基本已定，特朗普... (来自 @头条博客) - |黄生：最大... ​
		",2016-11-10
11,美国总统选举,2016-11-09,"
		科普：美国总统选举的规则囧知道的秒... ​
		",2016-11-10
12,美国总统选举,2016-11-09,"
@NaNaJEaY 这文章详细的介绍了美国总统选举制度
		",2016-11-9
13,美国总统选举,2016-11-09,"
	  【为何希拉里赢了直接选票却输了白宫？】让希拉里败选的“选举人团制度”，是美国国父们的政治发明，旨在避免多数人暴政，让小州也能发声。此次“黑天鹅”大选后，它会改革吗？|为何希拉里... ​
	",2016-11-10
14,美国总统选举,2016-11-09,"
		发表了一篇转载博文《[转载][转载]特朗普赢得美国总统选举》|[转载][转... ​
		",2016-11-10
15,美国总统选举,2016-11-09,"
		没事就说选举不具备民众基础的也是醉了，不过东亚向来崇拜强者，即便开放选举很可能也并不像美国或者欧洲。个人还是有点倾向欧式议会选举，而非美国总统选举 //@水獭otter:转发微博
		",2016-11-10
16,美国总统选举,2016-11-09,"
	  头条文章：《左右八卦 - 谁执牛耳》 三连发，不吐不快，写完这篇短期内不写了，恢复美食微博本色。 |左右八卦 -... ​
	",2016-11-10
17,美国总统选举,2016-11-09,"
		11月9日美国总统选举中，草根代表特朗普战胜精英代表希拉里。掌握很多社会资源的精英阶层，给出身并不高贵的草根阶层挑落马下。说明草根已经崛起，不可忽视。以前精英阶层利用拥有的社会资源、权力，排斥、打压草根一族。但是草根的强项就是顽强，坚韧不拔。 ​
		",2016-11-10
18,美国总统选举,2016-11-09,"
		中方密切关注美国总统选举引发的严重人权危机，中方继续关注事态发展，并敦促美方保持克制。中方支持美国人民为民主和自由所做的努力，强烈要求美当局正视人民诉求，维护人民基本人权。外交部说话有艺术
		",2016-11-10
19,美国总统选举,2016-11-09,"
#川普赢了##有趣的短视频# 川普赢了，美国各界媒体都有神马反应呢？有对选出川普而感到自豪的，但大多数是狂吐槽，直言我们会永远缅怀911，我们会永远后悔119！！哎~2016年，赶紧回家洗洗睡了吧，你真是醉得不轻啊！#ZoominTV#ZoominTV的... ​
	",2016-11-10
20,美国总统选举,2016-11-09,"
		【美元在特朗普获胜后有望进一步走高 - 丹斯克银行】丹斯克银行(Danske Bank)分析师Mathias Mogensen就特朗普在周三美国总统选举中获胜对美元的影响进行分析。 网页链接 ​
		",2016-11-10
21,美国总统选举,2016-11-09,"
		发表了博文《特朗普实现“逆袭”。这将给中美关系带来怎样的影响?》东北亚局势变数再起2016年11月10日10:14来源：凤凰国际智库文章来源：环球时报按:美国总统选举自启动以来,绝大多数主流媒体的民调|特朗普实现... ​
		",2016-11-10
22,美国总统选举,2016-11-09,"
		民政部门对壹基金拿百姓捐赠的善款去孝敬美国总统选举应该有个说法 //@思古堂先生://@汉大赋2013: 这些狗日的汉奸卖国贼！//@南阳谭爷:汉奸国贼
		",2016-11-10
23,美国总统选举,2016-11-09,"
	  该微博因被多人举报，根据《微博社区管理规定》，已被删除。查看帮助：|转发的微博...
",2016-11-10
24,美国总统选举,2016-11-09,"
		英媒：希拉里为什么会输掉美国总统选举？|英媒:希拉... ​
		",2016-11-10
25,美国总统选举,2016-11-09,"
		【最尴尬“自打脸”：“希拉里总统”封面刊发 美媒急回收】美国总统选举成绩9日出炉，一路不被看好的共和党总统候选人特朗普战胜民主党总统候选人希拉里赢得2016年美国总统大选。新加坡联合早报网11月10日报道称，特朗普的胜出让许多媒体大跌眼镜，但相信没有一家媒体要比美国《新闻周刊》(Newsweek)更 ​
			...展开全文c
",2016-11-10
26,美国总统选举,2016-11-09,"
		《清朝人眼中的美国总统选举》大清时代，闭关锁国，加上那时候信息传媒也不发达，一般人是不可能对美国总统大选有所了解的，在几千年的封建皇权统治下，人们对西方民主政治根本无法理解。因此，当时一些因职务或工作原因有机会接触和目睹美国大选的中国人的看法就很有代表性了。曾于1882年（光绪八年） ​
			...展开全文c
",2016-11-10
27,美国总统选举,2016-11-09,"
		""川普质疑美国总统选举的公正性，遭希拉里回呛。 "", 分享自秒拍用户 @九头狮子王 的作品,一起来看~九头狮子王...（使用#秒拍#录制） ​
		",2016-11-10
28,美国总统选举,2016-11-09,"
		作者：王德华不可思议。“赢了”，特朗普创造了奇迹，半路出家竞选总统竟然成功了。美国总统选举初步...[米尔军事] 网页链接 ​
		",2016-11-10
29,美国总统选举,2016-11-09,"
		应美国驻华使馆邀请，现在到美国驻华使馆参加2016美国总统选举招待会，实时观看美国总统选举结果。你认为特郎普和希拉里谁会当选美国新总统?在此留下你的预测，向大家展示你的超级判断力 ​
		",2016-11-10
30,美国总统选举,2016-11-09,"
		到底谁先骂人的？你不说清楚怎么选举人票就是一人一票，不说清楚曾经有个美国人在美国人头票远过半数为什么不能当美国总统你就别想拿精英来教训人。在我眼里你就是傻逼。 //@小楼春好:污言秽语，没教养的东西！你的无耻让你爹妈蒙羞，他们会后悔那次不经意间的快乐造孽了（听明白了吗？）。还有，你是
		",2016-11-9
31,美国总统选举,2016-11-09,"
	  该微博因被多人举报，根据《微博社区管理规定》，已被删除。查看帮助：|转发的微博...
",2016-11-10
32,美国总统选举,2016-11-09,"
		先不说川普大叔到底到底有多奇葩，或者他会不会成为史上第一不靠谱的美国总统，这些都不是今天讨论的重点，我们关心的是：小编为什么会这么问？那是因为，特朗普在自己的选举活动中，无数次地提出要拿中美贸易开刀，把诸如“苹果”产品制造这样的生产机会带回美国本土以促进就业，“把工作从中国拿回来 ​
			...展开全文c
",2016-11-10
33,美国总统选举,2016-11-09,"
		【文章发布】希拉里为什么会输掉美国总统选举?真的是这样：刚刚结束的美国总统选举无疑是美国历史上最为不同寻常的选举。选举体现了对政治体制的反叛，而希拉里·克林顿正是把这个政治体制人格化的核心人物。在竞选...#希拉里##特朗普##美国# 查看全文：网页链接 ​
		",2016-11-10
34,美国总统选举,2016-11-09,"
		【英媒:希拉里为什么会输掉美国总统选举?】 网页链接 ​
		",2016-11-10
35,美国总统选举,2016-11-09,"
		为何大家都关注美国总统选举？
		",2016-11-9
