Post ID,Post Content,Post Time
1,"
		都知道川普赢了，可是你真的懂美国总统选举制度吗？ |都知道川普... ​
		",2016-11-10
2,"
		回复@杏花春雨润江南:所以，你去当美国总统也是可以的。只是，美国也太蠢了，只要把选举游戏玩玩就够了，何必搞得那么隆重正经。
		",2016-11-10
3,"
	  【特朗普与朴槿惠通话赞韩国货好人也好】10日上午，特朗普与朴槿惠通电话时表示，他经营房地产多年买过很多韩货，无一不是非常过硬的产品，他在韩国有很多朋友，人都非常好。朴槿惠则在通话中表达了与美国密切合作，以遏制朝鲜挑衅的意愿。特朗普回应称，百分百同意朴槿惠的意见。韩联社（新浪） ​
	",2016-11-10
4,"
		分享自神探007 《黄生：最大的黑天鹅，金融大崩盘，华尔街的失败，冬天提... - 黄生：最大的黑天鹅，金融大崩盘，华尔街的失败，冬天提前到来 今天美国总统选举结果基本已定，特朗普... (来自 @头条博客) - |黄生：最大... ​
		",2016-11-10
5,"
		科普：美国总统选举的规则囧知道的秒... ​
		",2016-11-10
6,"
		发表了一篇转载博文《[转载][转载]特朗普赢得美国总统选举》|[转载][转... ​
		",2016-11-10
7,"
		发表了博文《特朗普实现“逆袭”。这将给中美关系带来怎样的影响?》东北亚局势变数再起2016年11月10日10:14来源：凤凰国际智库文章来源：环球时报按:美国总统选举自启动以来,绝大多数主流媒体的民调|特朗普实现... ​
		",2016-11-10
8,"
		发表了博文《“巴黎协定”维护我们的生计，尊严和我们所有人生活的唯一地球》马拉喀什，摩洛哥-唐纳德·特朗普星期三美国总统选举的胜利引发了专家出席气候变化会议的关注美国可能从巴黎协议拉出的关注，其他人仍然|“巴黎协定”... ​
		",2016-11-10
9,"
		民政部门对壹基金拿百姓捐赠的善款去孝敬美国总统选举应该有个说法 //@思古堂先生://@汉大赋2013: 这些狗日的汉奸卖国贼！//@南阳谭爷:汉奸国贼
		",2016-11-10
10,"
	  该微博因被多人举报，根据《微博社区管理规定》，已被删除。查看帮助：|转发的微博...
",2016-11-10
11,"
		【最尴尬“自打脸”：“希拉里总统”封面刊发 美媒急回收】美国总统选举成绩9日出炉，一路不被看好的共和党总统候选人特朗普战胜民主党总统候选人希拉里赢得2016年美国总统大选。新加坡联合早报网11月10日报道称，特朗普的胜出让许多媒体大跌眼镜，但相信没有一家媒体要比美国《新闻周刊》(Newsweek)更 ​
			...展开全文c
",2016-11-10
12,"
		《清朝人眼中的美国总统选举》大清时代，闭关锁国，加上那时候信息传媒也不发达，一般人是不可能对美国总统大选有所了解的，在几千年的封建皇权统治下，人们对西方民主政治根本无法理解。因此，当时一些因职务或工作原因有机会接触和目睹美国大选的中国人的看法就很有代表性了。曾于1882年（光绪八年） ​
			...展开全文c
",2016-11-10
13,"
		""川普质疑美国总统选举的公正性，遭希拉里回呛。 "", 分享自秒拍用户 @九头狮子王 的作品,一起来看~九头狮子王...（使用#秒拍#录制） ​
		",2016-11-10
14,"
#美国总统选举结果#特朗普赢得足够的选举人票(270票)，取得本届大选胜利。他将是美国史上首位毫无从政经验的地产商总统！震惊美国，地产之王变成了国王！ ​
		",2016-11-10
15,"
		【英媒:希拉里为什么会输掉美国总统选举?】 网页链接 ​
		",2016-11-10
16,"
		为何大家都关注美国总统选举？
		",2016-11-8
17,"
	  满屏的美国选举,比中国的事还火爆,无论官媒评论,还是民间议论,无论是赞,还是踩,那怕极尽嘲笑韩国政治丑闻之能事,那怕极尽狠批美国选举之能事,都已做不到高度蔑视,熟视无睹和置之不理,这就从不同侧面折射出了世界潮流和历史趋势,虽不能行,心里想之,虽不能去,心向往之,这种民心,大势,堵一个试试,自焚自掘 ​
	",2016-11-10
18,"
#深圳身边事# 【特朗普当选！深圳工厂火速加工 美国总统面具供不应求】11月9日，在刚刚结束的美国总统大选中，共和党人特朗普(Donald Trump)276:218的大比分优势赢得选举，成为新任美国总统。与此同时，被媒体称之为全球市场飞出2016年最大的“黑天鹅”，但对深圳而言并非如此，因为生意来了。2016年11 ​
			...展开全文c
",2016-11-10
19,"
		【国际】美国总统大选有时会出现这种情况：获得选民投票多的候选人落选，比如之前与小布什竞选总统的格尔。原因在于“赢者通吃”的选举人团制度，这种制度也导致美国难以出现第三大政党。#川普赢了# ​
		",2016-11-10
20,"
美国总统选举制度应当增加一条规定：“假如候选人A的选举人团票少于候选人B，但A的选民票多于B，则由A当选”。——这样就能避免“明明选民票占优但落败”这种明显不公平的情况。 //@后知后觉的茶:转发微博
		",2016-11-9
21,"
	  该微博因被多人举报，根据《微博社区管理规定》，已被删除。查看帮助：|转发的微博...
",2016-11-10
22,"
		特朗普当选 敢问路在何方？2016年美国总统大选的投开票情况，成为全球焦点。最后，特朗普反超希拉里，率先拿到270张选举人票，成为第45任美国总统。这位不按常理出牌的亿万富翁造就了怎样的一个政治奇迹？伴随着争议的""特朗普现象""到底意味着什么？美国政客演义告一段落新总统之路却刚刚开始口无 ​
			...展开全文c
",2016-11-10
23,"
		吃屎货探讨美国总统选举本身就是谈政治啊，我觉得现在讨论起具体操作才更有意思，你的说法叫“爆笑”//@洪峰:回复@宁远0812:原本是难得的爆笑段子，被一些人掺和进了政治，瞬间就没意思了。 //@宁远0812:他的朋友们都很开心，生怕刀子捅的不够。看他解释也很辛苦
",2016-11-9
24,"
	  今天想起@王小山 就忍不住笑，似乎看见他一脸无辜的样子，更没法不笑。我看过他那条微博，知道他又是精力过剩闲撩臊玩文字游戏给人挖坑。当时就想这小子弄不好这回要给自己挖坑，而且这是爬不出来的坑。原因是微博上有几个人跟你掰扯语法啊，双向解读只要成立，屎盆子你就给自己扣上了。果然，今天小山 ​
		...展开全文c
",2016-11-10
25,"
		作者：王德华不可思议。“赢了”，特朗普创造了奇迹，半路出家竞选总统竟然成功了。美国总统选举初步...[米尔军事] 网页链接 ​
		",2016-11-10
26,"
		美总统竞选是在每年11月开始，获胜者将于2017年1月上任。美国总统是美利坚合众国的国家元首、政府首脑与三军统帅。据美宪法任期4年，可连任一届。总统由选举人团于选举年“间接选举”产生，在一州获得选民票最多者获得所有选举人票，建国200多年来，44任美国总统全部为男性。特朗普将入主白宫，也男性 ​
			...展开全文c
",2016-11-10
27,"
美国总统选举制度体现出高明的共和民主智慧，一人一票的简单民主投票方式很早以前就作为暴政的一种被高度警惕，苏格拉底也正是死于这种制度之下。居然还有人以此为由撒泼打滚为希拉里鸣不平，除了送他一句“傻逼”还能说些什么呢 ​
		",2016-11-10
28,"
		平心而论，这场美国总统选举我谁也不支持。我认为这次总统选举是能反映美国现状的。如果在民调预测一边倒的情况下，希拉里胜选了，说明美国社会撕裂程度还没有那么大，社会问题还没有那么严重，因为大家在能过好日子的情况下自然而然会选择有从政经验更加靠谱的希拉里。 ​
		",2016-11-10
29,"
		发表了博文《唐纳德特朗普简历_美国58届第四十五任总统》唐纳德特朗普简历_美国58届第四十五任总统发布时间:2016-11-10编辑：炎英　2016年11月9日下午，美国总统选举初步结果揭晓，共和党总|唐纳德特朗... ​
		",2016-11-10
30,"
		希拉里败选，川普赢了。国人对于美国总统选举的关注度，可谓空前高涨。问题来了，关于我们祖国的各级选举，又有多少人在关注？ ​
		",2016-11-10
31,"
		发表了博文《这里将是牛市启动点》周三A股市场受美国总统选举投票影响出现剧烈波动，大选期间，美股暴跌4%，日本暴跌6%，带动了A股最大跌幅1.6%。但是今日美总结选举尘埃落定，特朗普当选，隔夜欧美股市双|这里将是牛... ​
		",2016-11-10
32,"
		【川普大叔：令我骄傲的不是美国总统，而是我的女儿Ivanka Trump】当地时间11月9日凌晨，美国总统选举初步结果揭晓——美国共和党候选人特朗普战胜民主党候选人希拉里克林... 网页链接 ​
		",2016-11-10
33,"
		分享自汉唐归来 《李晓鹏：特朗普当选美国总统，中国或成赢家？》 - 这次美国大选的结果让很多人大跌眼镜。在选举前多次民意调查中落后的特朗普不仅赢了，而且是以较大的优势取胜——选... (来自 @头条博客) - |李晓鹏：特... ​
		",2016-11-10
34,"
		很多人好奇为什么美国总统选举引起那么大关注？其实这和他们上台后会实行不同的政策简，希拉里上台会对美国现有政策进行微调，川普则会推翻许多现有政策。川普会实行许多务实政策，减少税收，以利于美国企业把在国外的公司搬回国内，增加国内就业，限制移民，保护美国人民工作岗位。 ​
			...展开全文c
",2016-11-10
35,"
		【英媒：希拉里为什么会输掉美国总统选举？】 |新浪跟帖_... ​
		",2016-11-10
36,"
		翼书小编探秘：美国总统选举的投票问题 |翼书小编探... ​
		",2016-11-10
37,"
		渔家周四早盘叮咛：近期渔翁的观点是创业板在周三有止跌结构，创业板止跌，市场风险解除，本来市场按照这个已经形成的态势真逐步前行，但美国总统的选举外围市场突然莫名其妙雪崩，纳斯达克指数期货、标准普尔指期指双双跌停出发熔断，日本更是一根5个点的... O网页链接 ​
		",2016-11-10
38,"
		发表了博文《变天了！特朗普赢得2016年美国总统大选》11月9日讯，美国东部时间2016年11月9日凌晨1:40，美国总统选举结果揭晓，特朗普以274票赢得足够的选举人票，提前锁定本届大选胜利，问鼎美|变天了！特... ​
		",2016-11-10
39,"
		民進黨應該去聲援希拉蕊啊，希拉蕊普選票贏川普耶，可惜的是美國總統選舉從來不是普選制，你能說他不民主嗎？ |台湾·桃园... ​
		",2016-11-10
40,"
		【白宫开始搭建新总统就职典礼舞台(组图)】<span>　　当地时间2016年11月9日，美国华盛顿，建筑工人开始在白宫搭建新总统就职典礼的舞台。9日，美国大选结果出炉，共和党的特朗普赢得选举，成为第45届美国总统。图片来源：东方IC</span> （分享自 @凤凰网） |白宫开始搭... ​
		",2016-11-10
41,"
美国总统选举，简直不想说什么呢了
		",2016-11-10
